Date,IndexCode,IndexName,Code,Name,Weigh
2021/2/26,300,沪深300,002415,海康威视,1.03
2021/2/26,300,沪深300,002422,科伦药业,0.11
2021/2/26,300,沪深300,002456,欧菲光,0.11
2021/2/26,300,沪深300,002460,赣锋锂业,0.38
2021/2/26,300,沪深300,002463,沪电股份,0.1
2021/2/26,300,沪深300,002475,立讯精密,0.97
2021/2/26,300,沪深300,002493,荣盛石化,0.34
2021/2/26,300,沪深300,002508,老板电器,0.09
2021/2/26,300,沪深300,002555,三七互娱,0.18
2021/2/26,300,沪深300,002558,巨人网络,0.07
2021/2/26,300,沪深300,002594,比亚迪,0.89
2021/2/26,300,沪深300,002600,领益智造,0.14
2021/2/26,300,沪深300,002601,龙蟒佰利,0.25
2021/2/26,300,沪深300,002602,世纪华通,0.12
2021/2/26,300,沪深300,002607,中公教育,0.11
2021/2/26,300,沪深300,002624,完美世界,0.14
2021/2/26,300,沪深300,002673,西部证券,0.08
2021/2/26,300,沪深300,002714,牧原股份,1.06
2021/2/26,300,沪深300,002736,国信证券,0.18
2021/2/26,300,沪深300,002739,万达电影,0.09
2021/2/26,300,沪深300,002773,康弘药业,0.07
2021/2/26,300,沪深300,002812,恩捷股份,0.23
2021/2/26,300,沪深300,002821,凯莱英,0.19
2021/2/26,300,沪深300,002841,视源股份,0.21
2021/2/26,300,沪深300,002916,深南电路,0.11
2021/2/26,300,沪深300,002938,鹏鼎控股,0.14
2021/2/26,300,沪深300,002939,长城证券,0.05
2021/2/26,300,沪深300,002945,华林证券,0.02
2021/2/26,300,沪深300,002958,青农商行,0.06
2021/2/26,300,沪深300,003816,中国广核,0.16
2021/2/26,300,沪深300,300003,乐普医疗,0.2
2021/2/26,300,沪深300,300014,亿纬锂能,0.48
2021/2/26,300,沪深300,300015,爱尔眼科,0.59
2021/2/26,300,沪深300,300033,同花顺,0.14
2021/2/26,300,沪深300,300059,东方财富,1.04
2021/2/26,300,沪深300,300122,智飞生物,0.56
2021/2/26,300,沪深300,300124,汇川技术,0.44
2021/2/26,300,沪深300,300136,信维通信,0.13
2021/2/26,300,沪深300,300142,沃森生物,0.35
2021/2/26,300,沪深300,300144,宋城演艺,0.16
2021/2/26,300,沪深300,300347,泰格医药,0.37
2021/2/26,300,沪深300,300408,三环集团,0.2
2021/2/26,300,沪深300,300413,芒果超媒,0.23
2021/2/26,300,沪深300,300433,蓝思科技,0.23
2021/2/26,300,沪深300,300498,温氏股份,0.4
2021/2/26,300,沪深300,300529,健帆生物,0.16
2021/2/26,300,沪深300,300601,康泰生物,0.26
2021/2/26,300,沪深300,300628,亿联网络,0.1
2021/2/26,300,沪深300,300676,华大基因,0.14
