l1code,l1name,l2code,l2name,l3code,l3name,code,name,area,market,exchange,list_status,list_date,is_hs
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,603126,中材节能,天津,主板,SSE,L,20140731,N
801970.SI,环保,801971.SI,环境治理,859711.SI,大气治理,603177,德创环保,浙江,主板,SSE,L,20170207,N
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,603200,上海洗霸,上海,主板,SSE,L,20170601,N
801970.SI,环保,801972.SI,环保设备Ⅱ,859721.SI,环保设备Ⅲ,603279,景津装备,山东,主板,SSE,L,20190729,H
801970.SI,环保,801972.SI,环保设备Ⅱ,859721.SI,环保设备Ⅲ,603282,亚光股份,浙江,主板,SSE,L,20230315,N
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,603291,联合水务,江苏,主板,SSE,L,20230327,N
801970.SI,环保,801971.SI,环境治理,859711.SI,大气治理,603315,福鞍股份,辽宁,主板,SSE,L,20150424,H
801970.SI,环保,801972.SI,环保设备Ⅱ,859721.SI,环保设备Ⅲ,603324,盛剑环境,上海,主板,SSE,L,20210407,H
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,603568,伟明环保,浙江,主板,SSE,L,20150528,H
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,603588,高能环境,北京,主板,SSE,L,20141229,H
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,603603,*ST博天,北京,主板,SSE,L,20170217,N
801970.SI,环保,801972.SI,环保设备Ⅱ,859721.SI,环保设备Ⅲ,603686,福龙马,福建,主板,SSE,L,20150126,N
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,603759,海天股份,四川,主板,SSE,L,20210326,N
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,603797,联泰环保,广东,主板,SSE,L,20170413,N
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,603817,海峡环保,福建,主板,SSE,L,20170220,N
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,603903,中持股份,北京,主板,SSE,L,20170314,N
801970.SI,环保,801971.SI,环境治理,859714.SI,综合环境治理,605069,正和生态,北京,主板,SSE,L,20210816,N
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,605081,太和水,上海,主板,SSE,L,20210209,N
801960.SI,石油石化,801963.SI,炼化及贸易,859631.SI,炼油化工,000059,华锦股份,辽宁,主板,SZSE,L,19970130,S
801960.SI,石油石化,801963.SI,炼化及贸易,859632.SI,油品石化贸易,000096,广聚能源,深圳,主板,SZSE,L,20000724,N
801960.SI,石油石化,801963.SI,炼化及贸易,859631.SI,炼油化工,000301,东方盛虹,江苏,主板,SZSE,L,20000529,S
801960.SI,石油石化,801963.SI,炼化及贸易,859632.SI,油品石化贸易,000554,泰山石油,山东,主板,SZSE,L,19931215,N
801960.SI,石油石化,801963.SI,炼化及贸易,859633.SI,其他石化,000637,茂化实华,广东,主板,SZSE,L,19961114,N
801960.SI,石油石化,801963.SI,炼化及贸易,859631.SI,炼油化工,000698,沈阳化工,辽宁,主板,SZSE,L,19970220,N
801960.SI,石油石化,801963.SI,炼化及贸易,859631.SI,炼油化工,000703,恒逸石化,广西,主板,SZSE,L,19970328,S
801960.SI,石油石化,801963.SI,炼化及贸易,859633.SI,其他石化,000819,岳阳兴长,湖南,主板,SZSE,L,19970625,S
801960.SI,石油石化,,,,,000968,蓝焰控股,山西,主板,SZSE,L,20000622,S
801960.SI,石油石化,801963.SI,炼化及贸易,859633.SI,其他石化,000985,大庆华科,黑龙江,主板,SZSE,L,20000726,N
801960.SI,石油石化,801963.SI,炼化及贸易,859632.SI,油品石化贸易,001316,润贝航科,深圳,主板,SZSE,L,20220624,N
801960.SI,石油石化,801962.SI,油服工程,859621.SI,油田服务,002207,准油股份,新疆,中小板,SZSE,L,20080128,N
801960.SI,石油石化,801963.SI,炼化及贸易,859633.SI,其他石化,002221,东华能源,江苏,中小板,SZSE,L,20080306,S
801960.SI,石油石化,801963.SI,炼化及贸易,859633.SI,其他石化,002408,齐翔腾达,山东,中小板,SZSE,L,20100518,S
801960.SI,石油石化,801963.SI,炼化及贸易,859633.SI,其他石化,002476,宝莫股份,山东,中小板,SZSE,L,20100915,N
801960.SI,石油石化,801963.SI,炼化及贸易,859631.SI,炼油化工,002493,荣盛石化,浙江,中小板,SZSE,L,20101102,S
801960.SI,石油石化,801962.SI,油服工程,859622.SI,油气及炼化工程,002554,惠博普,湖南,中小板,SZSE,L,20110225,S
801960.SI,石油石化,801962.SI,油服工程,859621.SI,油田服务,002629,仁智股份,浙江,中小板,SZSE,L,20111103,N
801960.SI,石油石化,801962.SI,油服工程,859621.SI,油田服务,002828,贝肯能源,新疆,中小板,SZSE,L,20161208,N
801960.SI,石油石化,801963.SI,炼化及贸易,859633.SI,其他石化,002986,宇新股份,湖南,中小板,SZSE,L,20200602,S
801960.SI,石油石化,801963.SI,炼化及贸易,859633.SI,其他石化,300135,宝利国际,江苏,创业板,SZSE,L,20101026,N
801960.SI,石油石化,801962.SI,油服工程,859622.SI,油气及炼化工程,300157,恒泰艾普,北京,创业板,SZSE,L,20110107,N
801960.SI,石油石化,801962.SI,油服工程,859622.SI,油气及炼化工程,300164,通源石油,陕西,创业板,SZSE,L,20110113,N
801960.SI,石油石化,801962.SI,油服工程,859622.SI,油气及炼化工程,300191,潜能恒信,北京,创业板,SZSE,L,20110316,S
801960.SI,石油石化,801963.SI,炼化及贸易,859633.SI,其他石化,300839,博汇股份,浙江,创业板,SZSE,L,20200630,N
801960.SI,石油石化,801963.SI,炼化及贸易,859631.SI,炼油化工,600028,中国石化,北京,主板,SSE,L,20010808,H
801960.SI,石油石化,801963.SI,炼化及贸易,859632.SI,油品石化贸易,600256,广汇能源,新疆,主板,SSE,L,20000526,H
801960.SI,石油石化,801962.SI,油服工程,859622.SI,油气及炼化工程,600339,中油工程,新疆,主板,SSE,L,20001225,H
801960.SI,石油石化,801963.SI,炼化及贸易,859631.SI,炼油化工,600346,恒力石化,辽宁,主板,SSE,L,20010820,H
801960.SI,石油石化,801963.SI,炼化及贸易,859632.SI,油品石化贸易,600387,海越能源,浙江,主板,SSE,L,20040218,N
801960.SI,石油石化,801963.SI,炼化及贸易,859631.SI,炼油化工,600506,统一股份,新疆,主板,SSE,L,20011226,N
801960.SI,石油石化,801962.SI,油服工程,859622.SI,油气及炼化工程,600583,海油工程,天津,主板,SSE,L,20020205,H
801960.SI,石油石化,801963.SI,炼化及贸易,859631.SI,炼油化工,600688,上海石化,上海,主板,SSE,L,19931108,H
801960.SI,石油石化,,,,,600759,ST洲际,海南,主板,SSE,L,19961008,N
801960.SI,石油石化,,,,,600777,新潮能源,山东,主板,SSE,L,19961121,H
801960.SI,石油石化,801963.SI,炼化及贸易,859633.SI,其他石化,600800,渤海化学,天津,主板,SSE,L,19931206,N
801960.SI,石油石化,801962.SI,油服工程,859621.SI,油田服务,600871,石化油服,北京,主板,SSE,L,19950411,H
801960.SI,石油石化,,,,,600938,中国海油,北京,主板,SSE,L,20220421,H
801960.SI,石油石化,801962.SI,油服工程,859621.SI,油田服务,600968,海油发展,北京,主板,SSE,L,20190626,H
801960.SI,石油石化,801963.SI,炼化及贸易,859633.SI,其他石化,601233,桐昆股份,浙江,主板,SSE,L,20110518,H
801960.SI,石油石化,801962.SI,油服工程,859621.SI,油田服务,601808,中海油服,天津,主板,SSE,L,20070928,H
801960.SI,石油石化,801963.SI,炼化及贸易,859631.SI,炼油化工,601857,中国石油,北京,主板,SSE,L,20071105,H
801960.SI,石油石化,801963.SI,炼化及贸易,859632.SI,油品石化贸易,603223,恒通股份,山东,主板,SSE,L,20150630,H
801960.SI,石油石化,801963.SI,炼化及贸易,859632.SI,油品石化贸易,603353,和顺石油,湖南,主板,SSE,L,20200407,N
801960.SI,石油石化,801962.SI,油服工程,859621.SI,油田服务,603619,中曼石油,上海,主板,SSE,L,20171117,H
801960.SI,石油石化,801962.SI,油服工程,859622.SI,油气及炼化工程,603727,博迈科,天津,主板,SSE,L,20161122,N
